  1,      CONSTSY, No. 24 : const.
  1,        INTSY, No. 22 : int.
  1,      IDENTSY, No. 38 : MAX_NUM.
  1,     ASSIGNSY, No. 10 : =.
  1,    INTEGERSY, No. 35 : 1024.
  1,       SEMISY, No. 19 : ;.
  3,        INTSY, No. 22 : int.
  3,      IDENTSY, No. 38 : factorial.
  3,       LPAESY, No. 11 : (.
  3,      IDENTSY, No. 38 : factorial.
  3,       LPAESY, No. 11 : (.
  3,        INTSY, No. 22 : int.
  3,      IDENTSY, No. 38 : n.
  3,       RPARSY, No. 12 : ).
  3,       LPRTSY, No. 15 : {.
  4,         IFSY, No. 30 : if.
  4,       LPAESY, No. 11 : (.
  4,      IDENTSY, No. 38 : n.
  4,         LESY, No.  5 : <=.
  4,    INTEGERSY, No. 35 : 1.
  4,       RPARSY, No. 12 : ).
  4,        RETSY, No. 34 : return.
  4,       LPAESY, No. 11 : (.
  4,    INTEGERSY, No. 35 : 1.
  4,       RPARSY, No. 12 : ).
  4,       SEMISY, No. 19 : ;.
  6,        RETSY, No. 34 : return.
  6,       LPAESY, No. 11 : (.
  6,      IDENTSY, No. 38 : n.
  6,       MULTSY, No.  2 : *.
  6,      IDENTSY, No. 38 : factorial.
  6,       LPAESY, No. 11 : (.
  6,      IDENTSY, No. 38 : n.
  6,      MINUSSY, No.  1 : -.
  6,    INTEGERSY, No. 35 : 1.
  6,       RPARSY, No. 12 : ).
  6,       RPARSY, No. 12 : ).
  6,       SEMISY, No. 19 : ;.
  7,       RPRTSY, No. 16 : }.
  9,        INTSY, No. 22 : int.
  9,      IDENTSY, No. 38 : mod.
  9,       LPAESY, No. 11 : (.
  9,      IDENTSY, No. 38 : mod.
  9,       LPAESY, No. 11 : (.
  9,        INTSY, No. 22 : int.
  9,      IDENTSY, No. 38 : x.
  9,      COMMASY, No. 18 : ,.
  9,        INTSY, No. 22 : int.
  9,      IDENTSY, No. 38 : y.
  9,       RPARSY, No. 12 : ).
  9,       LPRTSY, No. 15 : {.
 10,      IDENTSY, No. 38 : x.
 10,     ASSIGNSY, No. 10 : =.
 10,     ASSIGNSY, No. 10 : =.
 10,      IDENTSY, No. 38 : x.
 10,      MINUSSY, No.  1 : -.
 10,      IDENTSY, No. 38 : x.
 10,        DIVSY, No.  3 : /.
 10,      IDENTSY, No. 38 : y.
 10,       MULTSY, No.  2 : *.
 10,      IDENTSY, No. 38 : y.
 10,       SEMISY, No. 19 : ;.
 12,        RETSY, No. 34 : return.
 12,       LPAESY, No. 11 : (.
 12,      IDENTSY, No. 38 : x.
 12,       RPARSY, No. 12 : ).
 12,       SEMISY, No. 19 : ;.
 13,       RPRTSY, No. 16 : }.
 15,       VOIDSY, No. 25 : void.
 15,      IDENTSY, No. 38 : swap.
 15,      IDENTSY, No. 38 : swap.
 15,       LPAESY, No. 11 : (.
 15,        INTSY, No. 22 : int.
 15,      IDENTSY, No. 38 : x.
 15,      COMMASY, No. 18 : ,.
 15,        INTSY, No. 22 : int.
 15,      IDENTSY, No. 38 : y.
 15,       RPARSY, No. 12 : ).
 15,       LPRTSY, No. 15 : {.
 16,        INTSY, No. 22 : int.
 16,      IDENTSY, No. 38 : temp.
 16,       SEMISY, No. 19 : ;.
 16,      IDENTSY, No. 38 : temp.
 16,       SEMISY, No. 19 : ;.
 18,      PRINTSY, No. 33 : printf.
 18,       LPAESY, No. 11 : (.
 18,       DQUOSY, No. 21 : ".
 18,     STRINGSY, No. 37 : " x = ".
 18,       DQUOSY, No. 21 : " x = ".
 18,      COMMASY, No. 18 : ,.
 18,      IDENTSY, No. 38 : x.
 18,       RPARSY, No. 12 : ).
 18,       SEMISY, No. 19 : ;.
 19,      PRINTSY, No. 33 : printf.
 19,       LPAESY, No. 11 : (.
 19,       DQUOSY, No. 21 : ".
 19,     STRINGSY, No. 37 : " y = ".
 19,       DQUOSY, No. 21 : " y = ".
 19,      COMMASY, No. 18 : ,.
 19,      IDENTSY, No. 38 : y.
 19,       RPARSY, No. 12 : ).
 19,       SEMISY, No. 19 : ;.
 20,      IDENTSY, No. 38 : temp.
 20,     ASSIGNSY, No. 10 : =.
 20,     ASSIGNSY, No. 10 : =.
 20,      IDENTSY, No. 38 : x.
 20,       SEMISY, No. 19 : ;.
 21,      IDENTSY, No. 38 : x.
 21,     ASSIGNSY, No. 10 : =.
 21,     ASSIGNSY, No. 10 : =.
 21,      IDENTSY, No. 38 : y.
 21,       SEMISY, No. 19 : ;.
 22,      IDENTSY, No. 38 : y.
 22,     ASSIGNSY, No. 10 : =.
 22,     ASSIGNSY, No. 10 : =.
 22,      IDENTSY, No. 38 : temp.
 22,       SEMISY, No. 19 : ;.
 23,      PRINTSY, No. 33 : printf.
 23,       LPAESY, No. 11 : (.
 23,       DQUOSY, No. 21 : ".
 23,     STRINGSY, No. 37 : " SWAP x = ".
 23,       DQUOSY, No. 21 : " SWAP x = ".
 23,      COMMASY, No. 18 : ,.
 23,      IDENTSY, No. 38 : x.
 23,       RPARSY, No. 12 : ).
 23,       SEMISY, No. 19 : ;.
 24,      PRINTSY, No. 33 : printf.
 24,       LPAESY, No. 11 : (.
 24,       DQUOSY, No. 21 : ".
 24,     STRINGSY, No. 37 : " SWAP y = ".
 24,       DQUOSY, No. 21 : " SWAP y = ".
 24,      COMMASY, No. 18 : ,.
 24,      IDENTSY, No. 38 : y.
 24,       RPARSY, No. 12 : ).
 24,       SEMISY, No. 19 : ;.
 25,       RPRTSY, No. 16 : }.
 28,       VOIDSY, No. 25 : void.
 28,      IDENTSY, No. 38 : complete_num.
 28,      IDENTSY, No. 38 : complete_num.
 28,       LPAESY, No. 11 : (.
 28,        INTSY, No. 22 : int.
 28,      IDENTSY, No. 38 : val.
 28,       RPARSY, No. 12 : ).
 29,       LPRTSY, No. 15 : {.
 30,        INTSY, No. 22 : int.
 30,      IDENTSY, No. 38 : k.
 30,     LBRACKSY, No. 13 : [.
 30,      IDENTSY, No. 38 : k.
 30,     LBRACKSY, No. 13 : [.
 30,    INTEGERSY, No. 35 : 128.
 30,     RBRACKSY, No. 14 : ].
 30,       SEMISY, No. 19 : ;.
 31,        INTSY, No. 22 : int.
 31,      IDENTSY, No. 38 : i.
 31,      COMMASY, No. 18 : ,.
 31,      IDENTSY, No. 38 : i.
 31,      COMMASY, No. 18 : ,.
 31,      IDENTSY, No. 38 : j.
 31,      COMMASY, No. 18 : ,.
