+         PLUSSY
-         MINUSY
*         MULTSY
/         DIVSY
<         LSSY
<=        LESY
>         GTSY
>=        GESY
!=        NEQSY
==        EQUSY
=         ASSIGNSY
(         LPARSY
)         RPARSY
[         LBRACKSY
]         RBRACKSY
{         LPRTSY
}         RPRTSY
:         COLONSY
,         COMMASY
;         SEMISY
'         SQUOSY
"         DQUOSY
int       INTSY
char      CHARSY
const     CONSTSY
void      VOIDSY
main      MAINSY
switch    SWITCH
case      CASESY
default   DEFAULTSY
if        IFSY
while     LOOPSY
scanf     SCANFSY
printf    PRINTSY
return    RETSY
integer   INTEGERSY
character CHARACTERSY
string    STRINGSY
identifier  IDENTSY 
